date,latitude,longitude,mag,depth,place
1914-10-17,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1914-12-03,41.0,21.0,4.3,43.9,SUNGUDERESI-AKYAKA (KARS) [North East  23.8 km]
1915-02-14,38.8,30.0,5.7,42.5,CEMALETTIN-AHLAT (BITLIS) [South West  3.7 km]
1915-02-28,37.7,30.0,5.5,43.1,MEZRA-BEYTUSSEBAP (SIRNAK) [North West  9.0 km]
1915-04-01,40.5,35.0,4.9,44.5,AZERBAYCAN
1915-05-19,37.62,10.0,5.5,39.47,CATLI-SIVEREK (SANLIURFA) [South East  3.5 km]
1915-09-23,40.0,15.0,4.4,43.0,EVYAPAN-KAGIZMAN (KARS) [South West  5.8 km]
1915-12-25,36.47,10.0,5.4,36.14,GUZELYAYLA-BELEN (HATAY) [South West  2.6 km]
1916-01-24,40.27,10.0,7.1,36.83,TEKNECIK-ALMUS (TOKAT) [South West  0.6 km]
1916-04-26,39.2,10.0,4.3,27.0,KAPLANKOY-BERGAMA (IZMIR) [South East  5.2 km]
1916-08-17,38.2,10.0,4.9,26.2,�ESME A�IKLARI-IZMIR (EGE DENIZI)
1916-10-28,40.1,20.0,5.2,44.1,KADIKISLAK- (IGDIR) [North 8.4 km]
1916-11-14,40.8,26.0,5.5,44.4,AZERBAYCAN
1917-01-04,41.3,25.0,4.8,44.5,AZERBAYCAN
1917-02-20,41.3,16.0,4.7,44.6,AZERBAYCAN
1917-03-10,41.9,30.0,5.3,36.9,SAMSUN A�IKLARI (KARADENIZ)
1917-04-10,40.6,15.0,5.5,27.1,SARKOY (TEKIRDAG) [South West  2.0 km]
1917-06-04,37.0,5.0,4.7,26.0,AKDENIZ
1917-06-13,36.0,15.0,4.8,28.0,AKDENIZ
1917-08-08,39.0,15.0,4.7,27.0,DEMIRTAS-DIKILI (IZMIR) [East 5.0 km]
1917-12-27,40.5,10.0,5.3,26.0,SAROS K�RFEZI (EGE DENIZI)
1918-01-16,38.8,10.0,5.5,32.9,DAMLAKUYU-CIHANBEYLI (KONYA) [North West  4.7 km]
1918-01-16,38.34,10.0,5.8,29.48,PASALAR-KARAHALLI (USAK) [South West  0.8 km]
1918-03-17,35.0,30.0,5.8,27.5,AKDENIZ
1918-03-17,35.0,30.0,5.3,27.5,AKDENIZ
1918-03-17,36.0,15.0,4.8,28.0,AKDENIZ
1918-07-16,36.08,70.0,6.1,26.99,AKDENIZ
1918-08-09,40.89,10.0,5.8,33.41,SOGUTCUK-ILGAZ (�ANKIRI) [North East  1.1 km]
1918-08-29,40.58,10.0,5.5,35.16,ELVANCELEBI-MECITOZU (�ORUM) [North West  1.4 km]
1918-09-23,35.6,100.0,5.4,26.5,AKDENIZ
1918-09-29,35.2,30.0,6.5,34.7,AKDENIZ
1918-11-13,37.8,35.0,5.4,27.3,SOGUCAK-KUSADASI (AYDIN) [North 1.9 km]
1918-11-25,36.4,10.0,5.2,27.5,ONIKI ADALAR (AKDENIZ)
1918-11-28,36.4,12.0,4.9,27.5,ONIKI ADALAR (AKDENIZ)
1918-11-29,36.4,15.0,4.3,27.5,ONIKI ADALAR (AKDENIZ)
1919-01-08,40.9,40.0,5.4,42.2,EKINLIK-OLUR (ERZURUM) [North West  2.7 km]
1919-04-05,36.6,15.0,5.4,26.7,AKDENIZ
1919-05-27,39.13,10.0,5.5,31.02,GOKCEYAKA-EMIRDAG (AFYONKARAHISAR) [North East  3.0 km]
1919-06-09,40.68,10.0,5.3,33.89,IKIZOREN-YAPRAKLI (�ANKIRI) [South East  1.1 km]
1919-06-09,41.16,10.0,5.8,33.2,OKCULAR-ARAC (KASTAMONU) [South East  1.3 km]
1919-07-18,36.0,15.0,5.4,28.0,AKDENIZ
1919-07-20,36.0,15.0,4.9,28.0,AKDENIZ
1919-08-19,35.2,30.0,5.5,34.7,AKDENIZ
1919-08-24,36.0,15.0,5.5,28.0,AKDENIZ
1919-08-29,35.2,5.0,5.0,34.7,AKDENIZ
1919-10-13,41.5,12.0,4.7,28.0,GUNGORMEZ-SARAY (TEKIRDAG) [North East  1.4 km]
1919-11-18,39.26,10.0,7.0,26.71,KUCUKKOY-AYVALIK (BALIKESIR) [South East  3.6 km]
1920-01-09,41.8,20.0,5.4,26.2,BUDAKDOGANCA- (EDIRNE) [North West  12.6 km]
1920-04-02,36.75,10.0,5.6,26.64,AKDENIZ
1920-05-01,37.0,30.0,5.3,28.7,YESILKOY-KOYCEGIZ (MUGLA) [North West  0.7 km]
1920-07-02,37.5,15.0,4.5,29.0,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
1920-07-04,37.5,15.0,5.4,29.0,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
1920-07-04,37.5,15.0,5.3,29.0,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
1920-09-28,37.89,10.0,5.8,28.35,SEVINDIKLI-NAZILLI (AYDIN) [South West  2.9 km]
1920-11-27,39.3,14.0,5.2,26.5,AYVALIK A�IKLARI-BALIKESIR (EGE DENIZI)
1921-01-16,38.33,10.0,5.8,32.79,AKKOY-ALTINEKIN (KONYA) [South West  2.4 km]
1921-01-26,36.0,15.0,4.3,28.0,AKDENIZ
1921-01-27,36.0,15.0,5.5,28.0,AKDENIZ
1921-04-13,38.4,30.0,5.4,31.8,TURSUNLU-TUZLUKCU (KONYA) [East 1.2 km]
1921-05-22,37.0,32.0,5.3,28.7,YESILKOY-KOYCEGIZ (MUGLA) [North West  0.7 km]
1921-07-24,38.8,22.0,5.4,26.5,EGE DENIZI
1921-09-26,38.42,10.0,5.5,31.79,TURSUNLU-TUZLUKCU (KONYA) [North 2.3 km]
1921-10-05,36.4,30.0,5.6,35.2,KARATAS A�IKLARI-ADANA (AKDENIZ)
1922-02-01,38.0,30.0,5.5,37.0,KABAKTEPE-EKINOZU (KAHRAMANMARAS) [South 3.9 km]
1922-04-20,36.4,150.0,5.4,26.2,AKDENIZ
1922-06-03,36.49,30.0,5.2,28.65,AKDENIZ
1922-06-19,40.5,10.0,5.2,26.0,SAROS K�RFEZI (EGE DENIZI)
1922-08-11,35.36,10.0,6.5,27.7,AKDENIZ
1922-08-13,35.61,10.0,5.9,27.68,AKDENIZ
1922-08-13,35.51,10.0,6.9,27.98,AKDENIZ
1922-08-17,36.0,15.0,5.3,28.0,AKDENIZ
1922-08-29,37.37,30.0,5.2,32.73,AVDUL-CUMRA (KONYA) [South West  3.0 km]
1922-11-20,37.5,28.0,5.2,29.0,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
1922-12-06,37.5,15.0,5.4,29.0,MEDET-TAVAS (DENIZLI) [South West  1.7 km]
1923-04-29,40.07,10.0,5.9,36.43,BEDIRKALE- (TOKAT) [North West  1.5 km]
1923-05-12,41.4,20.0,5.4,44.3,AZERBAYCAN
1923-05-29,41.0,25.0,5.6,30.0,HACISEYH-KANDIRA (KOCAELI) [North West  0.9 km]
1923-07-23,38.5,16.0,4.8,26.0,SAKIZ ADASI (EGE DENIZI)
1923-08-16,41.02,40.0,5.4,34.41,SEKIKOY-KARGI (�ORUM) [South West  1.3 km]
1923-09-11,38.0,22.0,4.8,29.5,ISABEY-CAL (DENIZLI) [South East  5.2 km]
1923-10-26,41.2,24.0,5.3,28.6,YASSIOREN-ARNAVUTKOY (ISTANBUL) [South 4.3 km]
1923-11-27,36.0,15.0,4.8,26.0,AKDENIZ
1924-01-22,39.51,80.0,5.5,28.4,TASPINAR-DURSUNBEY (BALIKESIR) [South East  0.6 km]
1924-04-14,39.0,15.0,4.9,27.8,KADIDAGI-AKHISAR (MANISA) [South West  2.4 km]
1924-05-13,40.0,30.0,5.3,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1924-05-13,40.0,30.0,5.5,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1924-06-09,35.2,30.0,4.8,33.3,KIBRIS-LEFKOSA
1924-07-25,38.0,30.0,5.2,43.0,CILGA-CATAK (VAN) [South East  4.7 km]
1924-09-06,39.67,10.0,5.2,42.81,KILICGEDIGI-TUTAK (AGRI) [North East  2.9 km]
1924-09-10,36.84,30.0,5.3,31.49,BUCAKSEYHLER-MANAVGAT (ANTALYA) [South East  2.1 km]
1924-09-13,40.0,30.0,5.2,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1924-09-13,40.24,10.0,5.3,41.94,KOYUNOREN-NARMAN (ERZURUM) [South East  2.6 km]
1924-09-13,39.96,10.0,6.8,41.94,EMRE-KOPRUKOY (ERZURUM) [South West  1.9 km]
1924-09-16,40.0,30.0,5.2,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1924-09-22,40.0,5.0,4.9,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1924-09-23,40.0,10.0,4.9,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1924-09-27,39.92,10.0,5.3,41.47,GERDEKKAYA-PASINLER (ERZURUM) [North West  2.0 km]
1924-11-20,38.55,10.0,5.9,30.78,INLI-CAY (AFYONKARAHISAR) [North West  3.7 km]
1924-12-13,38.0,30.0,5.2,33.5,BASARAN-ESKIL (AKSARAY) [South West  3.8 km]
1924-12-22,39.6,15.0,5.5,27.7,DALLIDAMDIRA- (BALIKESIR) [South East  1.2 km]
1925-01-09,41.33,60.0,6.0,43.41,AKCIL-CILDIR (ARDAHAN) [East 20.4 km]
1925-02-08,41.1,5.0,5.5,42.7,ARDAHAN [South 1.4 km]
1925-02-12,41.5,23.0,4.9,43.5,G�RCISTAN
1925-03-12,40.0,30.0,5.3,42.0,KARACUHA-HORASAN (ERZURUM) [South East  1.6 km]
1925-03-17,37.2,15.0,5.3,26.2,ONIKI ADALAR (AKDENIZ)
1925-04-04,35.5,15.0,5.3,29.0,AKDENIZ
1925-04-05,35.5,15.0,5.7,29.0,AKDENIZ
1925-04-05,35.5,15.0,5.3,29.0,AKDENIZ
1925-04-05,35.06,150.0,5.8,29.34,AKDENIZ
1925-04-06,35.5,15.0,4.7,29.0,AKDENIZ
1925-04-15,35.5,15.0,4.8,29.0,AKDENIZ
1925-04-15,35.5,15.0,4.9,29.0,AKDENIZ
1925-04-15,35.5,15.0,5.4,29.0,AKDENIZ
1925-04-15,35.5,15.0,5.3,29.0,AKDENIZ
1925-04-15,35.5,15.0,4.9,29.0,AKDENIZ
1925-04-29,39.6,15.0,4.8,27.7,DALLIDAMDIRA- (BALIKESIR) [South East  1.2 km]
1925-05-13,41.3,18.0,5.3,43.6,G�RCISTAN
1925-06-10,41.0,8.0,4.6,29.0,KADIKOY (ISTANBUL) [North West  2.2 km]
1925-06-24,40.88,10.0,4.8,30.39,KAYRANCIK-ADAPAZARI (SAKARYA) [South East  4.4 km]
1925-07-08,37.4,15.0,5.2,30.5,SUSUZ-BUCAK (BURDUR) [North West  4.4 km]
1925-07-09,37.4,15.0,4.9,30.5,SUSUZ-BUCAK (BURDUR) [North West  4.4 km]
1925-07-09,37.4,15.0,4.9,30.5,SUSUZ-BUCAK (BURDUR) [North West  4.4 km]
1925-07-15,37.4,15.0,4.7,30.5,SUSUZ-BUCAK (BURDUR) [North West  4.4 km]
1925-07-18,38.0,15.0,4.3,27.0,KUSADASI K�RFEZI (EGE DENIZI)
1925-07-18,38.0,15.0,4.5,27.0,KUSADASI K�RFEZI (EGE DENIZI)
1925-07-26,40.71,10.0,4.8,41.49,KILICKAYA-YUSUFELI (ARTVIN) [South East  1.0 km]
1925-07-29,37.5,15.0,4.7,27.5,KAPIKIRI-MILAS (MUGLA) [South West  2.3 km]
1925-08-05,38.1,30.0,5.3,29.8,BOZDAG-CIVRIL (DENIZLI) [West 2.2 km]
1925-08-07,38.0,15.0,4.4,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-07,38.0,15.0,4.4,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-07,38.0,15.0,4.7,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-07,38.1,20.0,5.9,29.8,BOZDAG-CIVRIL (DENIZLI) [West 2.2 km]
1925-08-08,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-09,38.0,15.0,4.9,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-12,38.0,15.0,4.4,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-16,38.0,15.0,5.3,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-08-19,38.1,5.0,4.9,29.8,BOZDAG-CIVRIL (DENIZLI) [West 2.2 km]
1925-08-28,38.0,15.0,4.3,30.0,KORKUYU-EVCILER (AFYONKARAHISAR) [South West  0.7 km]
1925-09-01,37.56,130.0,5.5,29.17,AYDOGDU-TAVAS (DENIZLI) [North 5.4 km]
1925-09-03,38.0,15.0,4.7,29.0,TEPEKOY-SARAYKOY (DENIZLI) [South East  1.4 km]
1925-09-14,39.0,30.0,5.2,31.0,YUREGIL-EMIRDAG (AFYONKARAHISAR) [South West  3.7 km]
1925-09-20,39.0,30.0,5.2,31.0,YUREGIL-EMIRDAG (AFYONKARAHISAR) [South West  3.7 km]
1925-12-18,37.4,15.0,5.3,30.4,KECILI-BUCAK (BURDUR) [North East  1.3 km]
1926-01-13,38.53,10.0,5.8,28.19,TAYTAN-SALIHLI (MANISA) [North West  1.4 km]
1926-01-13,38.64,50.0,5.8,28.11,KEMERDAMLARI-SALIHLI (MANISA) [North East  1.0 km]
1926-02-08,36.8,30.0,5.5,27.1,KOS ADASI (AKDENIZ)
1926-02-18,36.7,5.0,4.7,27.2,ONIKI ADALAR (AKDENIZ)
