No,deprem_kodu,olus_tarihi,olus_zamani,enlem,boylam,derinlik,xM,MD,ML,Mw,Ms,Mb,Tip,Yer
11783,1.98504E+13,1985.04.30,45:05.2,39.33,29.16,10,3.8,0,0,,0,3.8,Ke,UMUTLU-EMET (K�TAHYA) [South West  2.5 km]
11782,1.98505E+13,1985.05.03,48:03.3,38.76,31.31,21,3.6,0,0,,0,3.6,Ke,BUYUKKARABAG-BOLVADIN (AFYONKARAHISAR) [South East  5.5 km]
11781,1.98505E+13,1985.05.04,29:58.3,36.98,27.85,5,3.7,0,0,,0,3.7,Ke,G�KOVA K�RFEZI (AKDENIZ)
11780,1.98505E+13,1985.05.05,53:41.2,37.08,29.48,0,3.5,0,0,,0,3.5,Ke,ASMALI-GOLHISAR (BURDUR) [North West  2.9 km]
11779,1.98505E+13,1985.05.06,33:19.0,35.7,27.97,0,3.6,0,0,,0,3.6,Ke,AKDENIZ
11778,1.98505E+13,1985.05.10,01:16.5,35.4,27.25,32,4.5,0,4.4,,0,4.5,Ke,AKDENIZ
11777,1.98505E+13,1985.05.12,16:19.6,36.9,29.42,9,3.7,0,0,,0,3.7,Ke,BALLIK-ALTINYAYLA (BURDUR) [North West  2.6 km]
11774,1.98505E+13,1985.05.13,54:45.1,35.26,27.45,24,3.7,0,0,,0,3.7,Ke,AKDENIZ
11775,1.98505E+13,1985.05.13,54:33.3,36.93,29.4,9,3.6,0,0,,0,3.6,Ke,ELMALIYURT-GOLHISAR (BURDUR) [South East  1.5 km]
11776,1.98505E+13,1985.05.13,22:22.5,35.63,27.11,9,4.1,0,4.1,,0,0,Ke,AKDENIZ
11772,1.98505E+13,1985.05.14,09:45.0,36.29,27.09,9,3.9,0,3.8,,0,3.9,Ke,AKDENIZ
11773,1.98505E+13,1985.05.14,52:18.5,39.71,26.09,26,4,0,4,,0,3.8,Ke,DALYAN-EZINE (�ANAKKALE) [South West  7.6 km]
11771,1.98505E+13,1985.05.15,15:19.0,39.7,26.03,17,3.8,0,3.5,,0,3.8,Ke,TAVAKLI A�IKLARI-�ANAKKALE (EGE DENIZI)
11770,1.98505E+13,1985.05.17,14:00.8,37.13,29.5,10,3.6,0,0,,0,3.6,Ke,GOLHISAR (BURDUR) [South West  1.4 km]
11769,1.98505E+13,1985.05.20,33:42.2,36.16,28.82,51,4.8,0,4.8,,0,4.8,Ke,AKDENIZ
11767,1.98505E+13,1985.05.22,53:16.0,39.6,33.7,10,4,0,0,,0,4,Ke,YENIYAPAN-KESKIN (KIRIKKALE) [North East  1.2 km]
11768,1.98505E+13,1985.05.22,48:06.4,38.93,26.13,13,3.6,0,3.6,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11765,1.98505E+13,1985.05.24,29:34.9,38.95,26.09,13,3.5,0,3.4,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11766,1.98505E+13,1985.05.24,13:52.3,38.92,26.09,11,3.5,0,0,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11763,1.98505E+13,1985.05.30,40:55.7,35.55,27.44,5,4.1,0,4.1,,0,0,Ke,AKDENIZ
11764,1.98505E+13,1985.05.30,45:29.5,36.55,29.31,10,3.5,0,0,,0,3.5,Ke,CALTIOZU-FETHIYE (MUGLA) [South West  1.6 km]
11762,1.98505E+13,1985.05.31,55:39.0,38.86,26.04,3,3.5,0,3.4,,0,3.5,Ke,EGE DENIZI
11761,1.98506E+13,1985.06.04,15:17.0,37.15,31.08,139,3.8,0,0,,0,3.8,Ke,ETLER-SERIK (ANTALYA) [North East  2.2 km]
11759,1.98506E+13,1985.06.05,51:07.0,36.3,27.74,32,4.2,0,4.2,,0,3.9,Ke,AKDENIZ
11760,1.98506E+13,1985.06.05,48:28.6,36.2,27.9,44,4.3,0,4.3,,0,4.3,Ke,RODOS ADASI (AKDENIZ)
11758,1.98506E+13,1985.06.06,08:42.3,35.56,31.21,53,4.9,0,0,,0,4.9,Ke,AKDENIZ
11757,1.98506E+13,1985.06.08,30:00.0,38.94,26.07,13,3.6,0,3.6,,0,3.5,Ke,EGE DENIZI
11756,1.98506E+13,1985.06.09,22:06.5,37.85,29.16,10,3.5,0,0,,0,3.5,Ke,ELDENIZLI- (DENIZLI) [South West  2.8 km]
11754,1.98506E+13,1985.06.10,02:26.8,40.56,35.81,10,4.4,0,0,,0,4.4,Ke,ILYAS- (AMASYA) [South West  1.3 km]
11755,1.98506E+13,1985.06.10,41:54.5,40.6,35.8,10,4.8,0,0,,0,4.8,Ke,IPEKKOY- (AMASYA) [North West  0.7 km]
11753,1.98506E+13,1985.06.11,57:14.8,37.89,29.08,10,3.7,0,0,,0,3.7,Ke,SALIHAGA- (DENIZLI) [South 0.6 km]
11752,1.98506E+13,1985.06.13,54:47.4,37,26.55,5,3.9,0,3.9,,0,3.8,Ke,ONIKI ADALAR (AKDENIZ)
11751,1.98506E+13,1985.06.14,20:19.0,38.33,39.26,9,4.2,0,0,,0,4.2,Ke,YAZYAGMURU-CUNGUS (DIYARBAKIR) [North West  1.4 km]
11750,1.98506E+13,1985.06.16,54:51.7,39.23,26.33,10,3.6,0,3.5,,0,3.6,Ke,MIDILLI ADASI (EGE DENIZI)
11749,1.98506E+13,1985.06.19,45:29.1,39.04,26,25,3.5,0,3.5,,0,3.4,Ke,EGE DENIZI
11747,1.98506E+13,1985.06.22,58:35.1,37.26,36.98,33,4.5,0,0,,0,4.5,Ke,INCIRLI-NURDAGI (GAZIANTEP) [East 2.0 km]
11748,1.98506E+13,1985.06.22,30:52.0,37.76,27.3,10,3.5,0,0,,0,3.5,Ke,CAFERLI-KUSADASI (AYDIN) [West 1.4 km]
11746,1.98506E+13,1985.06.28,19:40.5,40.22,40.01,0,4.9,0,0,,0,4.9,Ke,RUSTU- (BAYBURT) [East 2.8 km]
11745,1.98507E+13,1985.07.04,03:19.1,35.2,31.1,65,3.5,0,3.5,,0,3.3,Ke,AKDENIZ
11744,1.98507E+13,1985.07.14,09:52.8,35.92,26.17,106,4.6,0,4.4,,0,4.6,Ke,AKDENIZ
11743,1.98507E+13,1985.07.18,42:57.0,37.4,29.2,10,3.7,0,0,,0,3.7,Ke,NIKFER-TAVAS (DENIZLI) [East 5.3 km]
11742,1.98507E+13,1985.07.21,42:09.0,36.88,30.55,105,3.7,0,0,,0,3.7,Ke,BAHTILI-KONYAALTI (ANTALYA) [South West  2.3 km]
11741,1.98507E+13,1985.07.28,33:52.1,39.34,27.62,18,3.9,0,3.9,,0,3.7,Ke,KARACAM-SAVASTEPE (BALIKESIR) [South West  3.3 km]
11740,1.98507E+13,1985.07.29,23:33.9,40.13,29.25,10,3.6,0,0,,0,3.6,Ke,ORHANIYE-KESTEL (BURSA) [South West  2.1 km]
11739,1.98508E+13,1985.08.04,33:39.0,38,30.3,10,3.6,0,0,,0,3.6,Ke,OZBAHCE-KECIBORLU (ISPARTA) [South West  3.3 km]
11738,1.98508E+13,1985.08.12,54:44.2,39.95,39.77,29,4.9,0,0,,0,4.9,Ke,DAMLICA-DEMIROZU (BAYBURT) [South West  3.2 km]
11737,1.98508E+13,1985.08.15,48:11.0,38.85,26.96,7,3.5,0,0,,0,3.5,Ke,CANDARLI K�RFEZI (EGE DENIZI)
11735,1.98508E+13,1985.08.23,38:36.6,37.23,28.79,11,4.5,0,4.4,,0,4.5,Ke,KARACAOREN- (MUGLA) [North East  3.5 km]
11736,1.98508E+13,1985.08.23,33:17.0,38.81,26.9,6,3.6,0,0,,0,3.6,Ke,CANDARLI K�RFEZI (EGE DENIZI)
11734,1.98508E+13,1985.08.24,59:18.0,38.79,26.82,11,3.5,0,0,,0,3.5,Ke,CANDARLI K�RFEZI (EGE DENIZI)
11733,1.98508E+13,1985.08.25,03:03.0,39.15,26.17,7,3.5,0,3.5,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11732,1.98508E+13,1985.08.28,45:50.0,36.32,27.96,0,3.5,0,0,,0,3.5,Ke,RODOS ADASI (AKDENIZ)
11731,1.98509E+13,1985.09.01,53:54.8,40.08,28.63,10,3.5,0,0,,0,3.5,Ke,INCEALIPINAR-MUSTAFAKEMALPASA (BURSA) [North East  2.4 km]
11730,1.98509E+13,1985.09.02,05:30.4,40.28,27.09,11,3.7,0,0,,0,3.7,Ke,GUNDOGDU-BIGA (�ANAKKALE) [North West  1.9 km]
11729,1.98509E+13,1985.09.03,47:40.7,40.85,34.59,10,4,0,0,,0,4,Ke,BEYOGLAN-ISKILIP (�ORUM) [East 2.5 km]
11728,1.98509E+13,1985.09.05,36:08.6,37.97,26.75,0,3.6,0,3.6,,0,3.4,Ke,EGE DENIZI
11727,1.98509E+13,1985.09.11,08:31.5,36.43,28.87,58,4.6,0,4.5,,0,4.6,Ke,AKDENIZ
11726,1.98509E+13,1985.09.20,29:40.7,40.82,42.54,10,4.5,0,0,,0,4.5,Ke,CAKIRUZUM-GOLE (ARDAHAN) [North West  3.2 km]
11725,1.98509E+13,1985.09.23,19:57.4,38.86,27.01,5,4,0,4,,0,3.7,Ke,CALTILIDERE-ALIAGA (IZMIR) [North West  2.4 km]
11724,1.9851E+13,1985.10.03,11:36.3,40.18,29.24,5,3.5,0,0,,0,3.5,Ke,BURHANIYE-KESTEL (BURSA) [North 1.1 km]
11722,1.9851E+13,1985.10.04,48:30.4,40.13,29.29,10,4.5,0,4.5,,0,3.8,Ke,ALACAM-KESTEL (BURSA) [North West  0.4 km]
11723,1.9851E+13,1985.10.04,36:07.8,39.2,26.21,14,4.2,0,4.2,,0,4.2,Ke,MIDILLI ADASI (EGE DENIZI)
11721,1.9851E+13,1985.10.09,13:01.3,40.8,27.49,22,3.5,0,0,,0,3.5,Ke,YENIK�Y A�IKLARI-TEKIRDAG (MARMARA DENIZI)
11720,1.9851E+13,1985.10.10,59:07.8,39.15,26.13,14,3.8,0,3.6,,0,3.8,Ke,MIDILLI ADASI (EGE DENIZI)
11719,1.9851E+13,1985.10.13,11:53.9,39.46,27.64,2,3.5,0,0,,0,3.5,Ke,AKPINAR-SAVASTEPE (BALIKESIR) [South East  0.8 km]
11717,1.9851E+13,1985.10.15,58:17.4,39.1,29.47,11,3.5,0,0,,0,3.5,Ke,YUNUSLAR-GEDIZ (K�TAHYA) [South West  2.8 km]
11718,1.9851E+13,1985.10.15,25:02.2,36.1,31.9,10,3.9,0,0,,0,3.9,Ke,ANTALYA K�RFEZI (AKDENIZ)
11716,1.9851E+13,1985.10.16,37:15.5,39.03,28.59,10,3.5,0,0,,0,3.5,Ke,YESILOBA-DEMIRCI (MANISA) [North West  0.6 km]
11715,1.9851E+13,1985.10.17,15:26.2,38.77,27.83,10,4.4,0,4.4,,0,4.1,Ke,KUMKUYUCAK-SARUHANLI (MANISA) [North 2.6 km]
11713,1.9851E+13,1985.10.21,16:32.7,37.75,29.1,10,3.5,0,0,,0,3.5,Ke,DENIZLI [South East  3.4 km]
11714,1.9851E+13,1985.10.21,13:48.2,37.9,29.15,10,3.7,0,0,,0,3.7,Ke,YENIKOY- (DENIZLI) [East 0.9 km]
11710,1.9851E+13,1985.10.23,37:55.0,38.78,27.67,4,3.7,0,0,,0,3.7,Ke,KOYUNCU-SARUHANLI (MANISA) [East 1.9 km]
11711,1.9851E+13,1985.10.23,14:32.0,38.8,27.83,12,4.3,0,4.2,,0,4.3,Ke,SAZOBA-AKHISAR (MANISA) [East 3.3 km]
11712,1.9851E+13,1985.10.23,32:13.9,38.83,27.7,10,3.5,0,0,,0,3.5,Ke,DILEK-SARUHANLI (MANISA) [East 1.7 km]
11709,1.9851E+13,1985.10.24,19:30.7,40.97,27.83,9,3.5,0,0,,0,3.5,Ke,YENICIFTLIK-MARMARAEREGLISI (TEKIRDAG) [South West  5.0 km]
11707,1.9851E+13,1985.10.30,53:16.3,36.2,44.92,10,4.4,0,0,,0,4.4,Ke,IRAK
11708,1.9851E+13,1985.10.30,47:00.0,38.24,31,10,3.5,0,0,,0,3.5,Ke,TOKMACIK-YALVAC (ISPARTA) [North 1.1 km]
11706,1.98511E+13,1985.11.07,26:21.7,40.37,42.29,31,5.1,0,0,,0,5.1,Ke,GOZEBASI-SENKAYA (ERZURUM) [South 2.8 km]
11705,1.98511E+13,1985.11.12,23:49.0,38.05,26.91,11,3.8,0,3.7,,0,3.8,Ke,KUSADASI K�RFEZI (EGE DENIZI)
11704,1.98511E+13,1985.11.13,21:21.6,39.01,28.6,10,3.5,0,0,,0,3.5,Ke,YESILOBA-DEMIRCI (MANISA) [South East  1.8 km]
11702,1.98511E+13,1985.11.16,51:40.6,40.26,27.29,10,3.5,0,0,,0,3.5,Ke,IDRISKORU-BIGA (�ANAKKALE) [North East  1.9 km]
11703,1.98511E+13,1985.11.16,26:26.9,35.03,33.4,66,4.1,0,0,,0,4.1,Ke,KIBRIS-LEFKOSA
11701,1.98511E+13,1985.11.17,16:12.0,37.6,33.3,10,4.2,0,0,,0,4.2,Ke,HASANOBA-KARAPINAR (KONYA) [North East  2.1 km]
11700,1.98511E+13,1985.11.18,44:51.3,36.03,27.42,13,4.2,0,4.1,,0,4.2,Ke,AKDENIZ
11699,1.98511E+13,1985.11.21,55:09.2,38.77,27.71,10,3.5,0,0,,0,3.5,Ke,NURIYE-SARUHANLI (MANISA) [North East  2.1 km]
11698,1.98511E+13,1985.11.24,19:39.5,37.65,27.57,23,4.5,0,4.4,,0,4.5,Ke,GUNEYYAKA-SOKE (AYDIN) [North 1.1 km]
11697,1.98512E+13,1985.12.01,47:38.7,39.29,27.7,15,4.6,0,4.6,,0,4.6,Ke,KOZLUOREN-SOMA (MANISA) [North West  1.9 km]
11696,1.98512E+13,1985.12.03,12:39.7,36.64,26.89,156,4.6,0,4.2,,0,4.6,Ke,KOS ADASI (AKDENIZ)
11695,1.98512E+13,1985.12.05,58:35.3,36.5,30.3,33,3.7,0,0,,0,3.7,Ke,KARACAAGAC-KUMLUCA (ANTALYA) [North 1.9 km]
11694,1.98512E+13,1985.12.06,35:29.9,36.97,28.85,9,4.6,0,4.5,,0,4.6,Ke,CAYHISAR-KOYCEGIZ (MUGLA) [South West  1.4 km]
11691,1.98512E+13,1985.12.07,07:57.5,36.24,28.6,96,3.6,0,0,,0,3.6,Ke,AKDENIZ
11692,1.98512E+13,1985.12.07,10:19.0,37,28.6,0,3.5,0,0,,0,3.5,Ke,DOGUSBELEN-KOYCEGIZ (MUGLA) [North East  2.7 km]
11693,1.98512E+13,1985.12.07,56:00.0,37,28.7,0,3.5,0,0,,0,3.5,Ke,YESILKOY-KOYCEGIZ (MUGLA) [North West  0.7 km]
11690,1.98512E+13,1985.12.09,33:15.1,37.84,28.86,10,3.6,0,0,,0,3.6,Ke,ACIDERE-SARAYKOY (DENIZLI) [South West  2.1 km]
11689,1.98512E+13,1985.12.15,40:47.0,38.13,31.1,0,3.5,0,0,,0,3.5,Ke,BALCI-GELENDOST (ISPARTA) [North West  1.4 km]
11688,1.98512E+13,1985.12.16,51:51.0,35.59,29.5,31,4.4,0,0,,0,4.4,Ke,AKDENIZ
11687,1.98512E+13,1985.12.17,43:42.0,39.27,27.72,4,3.5,0,0,,0,3.5,Ke,KOZLUOREN-SOMA (MANISA) [South 1.3 km]
11683,1.98512E+13,1985.12.18,17:33.8,39.16,26.23,14,3.7,0,3.7,,0,3.7,Ke,MIDILLI ADASI (EGE DENIZI)
11684,1.98512E+13,1985.12.18,36:56.0,39.1,26.1,6,3.5,0,0,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11685,1.98512E+13,1985.12.18,46:00.8,39.2,26.17,17,5,0,4.8,,0,5,Ke,MIDILLI ADASI (EGE DENIZI)
11686,1.98512E+13,1985.12.18,44:54.0,39.16,26.19,21,3.8,0,3.8,,0,3.7,Ke,MIDILLI ADASI (EGE DENIZI)
11680,1.98512E+13,1985.12.19,15:56.1,39.17,26.11,14,3.7,0,3.6,,0,3.7,Ke,MIDILLI ADASI (EGE DENIZI)
11681,1.98512E+13,1985.12.19,34:56.5,40.2,27.26,12,4.1,0,4.1,,0,3.9,Ke,ABDIAGA-BIGA (�ANAKKALE) [South East  0.9 km]
11682,1.98512E+13,1985.12.19,27:41.5,39.16,26.24,12,4.1,0,4.1,,0,4.1,Ke,MIDILLI ADASI (EGE DENIZI)
11676,1.98512E+13,1985.12.21,26:15.0,39.21,26.19,19,3.7,0,3.7,,0,3.7,Ke,MIDILLI ADASI (EGE DENIZI)
11677,1.98512E+13,1985.12.21,11:13.5,37.56,35.4,33,4.4,0,0,,0,4.4,Ke,ALADAG (ADANA) [North East  1.7 km]
11678,1.98512E+13,1985.12.21,05:36.5,37.55,35.47,33,4.6,0,0,,0,4.6,Ke,KIZILDAM-ALADAG (ADANA) [North West  2.2 km]
11679,1.98512E+13,1985.12.21,12:51.0,39.18,26.38,5,3.7,0,3.7,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11675,1.98512E+13,1985.12.22,29:45.8,39.28,26.12,10,3.5,0,3.4,,0,3.5,Ke,MIDILLI ADASI (EGE DENIZI)
11671,1.98512E+13,1985.12.23,50:35.8,36.9,26.62,5,3.7,0,3.7,,0,0,Ke,AKDENIZ
11672,1.98512E+13,1985.12.23,08:58.8,36.81,26.62,25,4.9,0,4.9,,0,4.9,Ke,AKDENIZ
11673,1.98512E+13,1985.12.23,36:14.2,36.08,29.49,0,3.5,0,0,,0,3.5,Ke,KAS A�IKLARI-ANTALYA (AKDENIZ)
11674,1.98512E+13,1985.12.23,56:17.9,36.88,26.58,39,4.2,0,4.2,,0,4.2,Ke,AKDENIZ
11670,1.98512E+13,1985.12.24,15:07.0,36.89,26.54,5,3.7,0,3.7,,0,0,Ke,AKDENIZ
11669,1.98512E+13,1985.12.28,49:49.0,38.98,31.4,10,3.6,0,0,,0,3.6,Ke,DAVULGA-EMIRDAG (AFYONKARAHISAR) [East 2.2 km]
11667,1.98512E+13,1985.12.29,14:21.2,38.69,27.2,28,3.5,0,0,,0,3.5,Ke,BOZALAN-MENEMEN (IZMIR) [South East  1.4 km]
11668,1.98512E+13,1985.12.29,55:26.0,38.7,44.5,33,4.3,0,0,,0,4.3,Ke,T�RKIYE-IRAN SINIR B�LGESI
11666,1.98512E+13,1985.12.31,19:54.2,40.63,29.98,6,3.6,0,0,,0,3.6,Ke,TEPECIK-BASISKELE (KOCAELI) [North West  0.7 km]
11665,1.98601E+13,1986.01.01,09:06.3,39.14,41.83,36,4.8,0,0,,0,4.8,Ke,SECME-BULANIK (MUS) [South East  0.7 km]
11664,1.98601E+13,1986.01.03,30:29.8,35.08,44.55,0,4,0,0,,0,4,Ke,IRAK
11663,1.98601E+13,1986.01.05,37:04.3,35.24,27.8,64,4.6,0,4.4,,0,4.6,Ke,AKDENIZ
11660,1.98601E+13,1986.01.08,00:41.8,36.9,26.66,5,3.7,0,3.7,,0,0,Ke,AKDENIZ
11661,1.98601E+13,1986.01.08,03:17.1,36.63,26.44,5,3.8,0,3.8,,0,0,Ke,AKDENIZ
11662,1.98601E+13,1986.01.08,34:21.0,36.62,28.3,70,3.6,0,0,,0,3.6,Ke,AKDENIZ
11659,1.98601E+13,1986.01.17,11:52.3,38.55,31.37,39,4.6,0,0,,0,4.6,Ke,TASKOPRU-SULTANDAGI (AFYONKARAHISAR) [South East  7.7 km]
11658,1.98601E+13,1986.01.20,02:04.0,38.2,31,10,3.9,0,0,,0,3.9,Ke,CALTI-GELENDOST (ISPARTA) [South West  0.8 km]
11657,1.98601E+13,1986.01.23,28:27.8,37.41,26.8,5,3.8,0,0,,0,3.8,Ke,ONIKI ADALAR (AKDENIZ)
11656,1.98601E+13,1986.01.27,53:48.5,38.6,26.78,5,3.5,0,0,,0,3.5,Ke,IZMIR K�RFEZI (EGE DENIZI)
11655,1.98601E+13,1986.01.28,59:30.9,40.44,29.11,4,3.7,0,0,,0,3.7,Ke,GEMLIK K�RFEZI (MARMARA DENIZI)
11654,1.98601E+13,1986.01.29,19:44.6,37.81,29.25,10,3.6,0,0,,0,3.6,Ke,GURLEYIK-HONAZ (DENIZLI) [South West  2.2 km]
11653,1.98601E+13,1986.01.30,40:22.9,35.41,28,69,4.5,0,4.5,,0,4.4,Ke,AKDENIZ
11652,1.98601E+13,1986.01.31,28:16.8,35.91,28.49,10,4.3,0,4.3,,0,4.2,Ke,AKDENIZ
11651,1.98602E+13,1986.02.01,56:55.6,40.79,27.58,22,4.2,0,4.2,,0,3.7,Ke,YENIK�Y A�IKLARI-TEKIRDAG (MARMARA DENIZI)
11650,1.98602E+13,1986.02.04,56:05.4,39.26,27.7,0,3.7,0,0,,0,3.7,Ke,KOZLUOREN-SOMA (MANISA) [South West  2.9 km]
11649,1.98602E+13,1986.02.07,48:39.4,35.91,27.68,33,4.1,0,0,,0,4.1,Ke,AKDENIZ
11648,1.98602E+13,1986.02.17,34:10.0,38.97,31.4,10,3.6,0,0,,0,3.6,Ke,DAVULGA-EMIRDAG (AFYONKARAHISAR) [South East  2.4 km]
11647,1.98602E+13,1986.02.19,15:16.0,36.6,26.3,5,3.7,0,3.7,,0,0,Ke,AKDENIZ
11646,1.98602E+13,1986.02.20,16:21.6,35.33,27.99,62,3.9,0,0,,0,3.9,Ke,AKDENIZ
11645,1.98602E+13,1986.02.21,24:43.9,36.38,26.52,146,4.8,0,4.4,,0,4.8,Ke,AKDENIZ
11643,1.98602E+13,1986.02.22,03:11.7,38.99,31.49,10,4.2,0,0,,0,4.2,Ke,YARIKKAYA-EMIRDAG (AFYONKARAHISAR) [South West  2.4 km]
11644,1.98602E+13,1986.02.22,04:22.5,38.7,26.33,5,3.5,0,3.5,,0,3.5,Ke,SALMAN A�IKLARI-IZMIR (EGE DENIZI)
11642,1.98602E+13,1986.02.23,03:30.0,38.58,31.6,10,3.7,0,0,,0,3.7,Ke,MEVLUTLU-TUZLUKCU (KONYA) [West 4.5 km]
11638,1.98602E+13,1986.02.24,28:29.0,39,31.6,10,3.5,0,0,,0,3.5,Ke,BUYUKTUGLUK-EMIRDAG (AFYONKARAHISAR) [East 3.0 km]
11639,1.98602E+13,1986.02.24,28:36.0,38.99,31.2,10,3.8,0,0,,0,3.8,Ke,SOGUKKUYU-EMIRDAG (AFYONKARAHISAR) [West 1.1 km]
11640,1.98602E+13,1986.02.24,04:16.0,38.96,31.3,0,3.6,0,0,,0,3.6,Ke,DEMIRCILI-EMIRDAG (AFYONKARAHISAR) [South East  1.5 km]
11641,1.98602E+13,1986.02.24,56:46.0,38.63,30.6,0,3.6,0,0,,0,3.6,Ke,BELKARACAOREN- (AFYONKARAHISAR) [South East  3.3 km]
11636,1.98602E+13,1986.02.26,15:34.0,36.85,26.73,5,3.9,0,3.9,,0,0,Ke,AKDENIZ
11637,1.98602E+13,1986.02.26,45:01.9,38.98,31.52,10,4.4,0,0,,0,4.4,Ke,YARIKKAYA-EMIRDAG (AFYONKARAHISAR) [South 1.6 km]
11635,1.98603E+13,1986.03.03,12:41.4,40.89,33.5,10,3.8,0,0,,0,3.8,Ke,YAYLAOREN-ILGAZ (�ANKIRI) [South West  0.8 km]
11633,1.98603E+13,1986.03.08,44:38.0,40.4,26.07,3,3.8,0,0,,0,3.8,Ke,SAROS K�RFEZI (EGE DENIZI)
11634,1.98603E+13,1986.03.08,08:32.0,35.5,27.8,25,4.4,0,4.4,,0,3.8,Ke,AKDENIZ
11632,1.98603E+13,1986.03.12,39:17.0,39.67,40.1,10,3.9,0,0,,0,3.9,Ke,BULMUS-TERCAN (ERZINCAN) [North West  1.1 km]
11628,1.98603E+13,1986.03.19,47:27.0,37.61,26.93,5,4.6,0,3.7,,0,4.6,Ke,EGE DENIZI
11629,1.98603E+13,1986.03.19,24:31.8,35.62,31.21,33,4.3,0,0,,0,4.3,Ke,AKDENIZ
11630,1.98603E+13,1986.03.19,29:11.5,37.55,26.93,18,4.7,0,4.3,,0,4.7,Ke,EGE DENIZI
11631,1.98603E+13,1986.03.19,22:21.0,38.8,26.46,12,3.5,0,0,,0,3.5,Ke,EGE DENIZI
11627,1.98603E+13,1986.03.20,57:27.0,39.08,29.54,2,3.7,0,0,,0,3.7,Ke,YENIGUNEY-GEDIZ (K�TAHYA) [South West  0.3 km]
11626,1.98603E+13,1986.03.25,22:15.0,36.99,26.58,19,4,0,4,,0,3.6,Ke,ONIKI ADALAR (AKDENIZ)
11625,1.98603E+13,1986.03.30,31:06.0,38.96,44.61,49,4.2,0,0,,0,4.2,Ke,T�RKIYE-IRAN SINIR B�LGESI
11624,1.98603E+13,1986.03.31,45:04.0,36.62,27.61,11,3.8,0,0,,0,3.8,Ke,MESUDIYE-DATCA (MUGLA) [South East  9.7 km]
11623,1.98604E+13,1986.04.11,10:34.4,40.01,43.34,33,4.9,0,0,,0,4.9,Ke,SARIBULAK-TUZLUCA (IGDIR) [South East  0.3 km]
11622,1.98604E+13,1986.04.15,41:14.0,36.62,29,3,3.6,0,0,,0,3.6,Ke,FETHIYE K�RFEZI (AKDENIZ)
11621,1.98604E+13,1986.04.20,31:39.0,37.6,29.76,10,3.6,0,0,,0,3.6,Ke,TASPINAR-YESILOVA (BURDUR) [South 3.7 km]
11620,1.98604E+13,1986.04.29,50:14.1,37.25,27.58,10,3.7,0,0,,0,3.7,Ke,G�LL�K K�RFEZI (EGE DENIZI)
11619,1.98605E+13,1986.05.01,47:33.2,39.08,30.04,10,3.6,0,0,,0,3.6,Ke,GECEK-ALTINTAS (K�TAHYA) [West 2.4 km]
11617,1.98605E+13,1986.05.03,52:51.3,40.6,27.64,10,3.6,0,0,,0,3.6,Ke,TOPAGAC-MARMARA (BALIKESIR) [South West  1.8 km]
11618,1.98605E+13,1986.05.03,42:25.5,36.93,28,11,4.1,0,4.1,,0,0,Ke,G�KOVA K�RFEZI (AKDENIZ)
11610,1.98605E+13,1986.05.05,58:59.0,40.41,28,0,3.6,0,0,,0,3.6,Ke,BANDIRMA K�RFEZI (MARMARA DENIZI)
11611,1.98605E+13,1986.05.05,00:22.8,37.98,37.87,10,3.8,0,0,,0,3.8,Ke,HUDUTKOY-DOGANSEHIR (MALATYA) [South 4.4 km]
11612,1.98605E+13,1986.05.05,31:20.5,37.97,37.88,10,4.1,0,0,,0,4.1,Ke,HUDUTKOY-DOGANSEHIR (MALATYA) [South East  5.6 km]
11613,1.98605E+13,1986.05.05,27:53.1,37.35,26.85,10,3.7,0,3.7,,0,3.4,Ke,ONIKI ADALAR (AKDENIZ)
11614,1.98605E+13,1986.05.05,01:32.9,38.06,37.79,36,4.6,0,0,,0,4.6,Ke,SOGUT-DOGANSEHIR (MALATYA) [East 2.0 km]
11615,1.98605E+13,1986.05.05,09:31.6,38.12,37.81,10,4.2,0,0,,0,4.2,Ke,FINDIKKOY-DOGANSEHIR (MALATYA) [South East  1.1 km]
11616,1.98605E+13,1986.05.05,35:38.0,38.02,37.79,4,5.8,0,0,,5.8,5.7,Ke,KADILI-DOGANSEHIR (MALATYA) [South East  1.9 km]
11607,1.98605E+13,1986.05.07,35:34.0,37.98,37.85,10,4.2,0,0,,0,4.2,Ke,HUDUTKOY-DOGANSEHIR (MALATYA) [South West  4.6 km]
11608,1.98605E+13,1986.05.07,09:09.3,38,37.98,10,4,0,0,,0,4,Ke,SURGU-DOGANSEHIR (MALATYA) [South East  0.9 km]
11609,1.98605E+13,1986.05.07,10:06.0,40.04,33.15,10,3.7,0,0,,0,3.7,Ke,AHMETADIL-AKYURT (ANKARA) [South West  10.7 km]
11604,1.98605E+13,1986.05.11,15:50.0,39.54,28.39,11,3.5,0,0,,0,3.5,Ke,SEBILLER-DURSUNBEY (BALIKESIR) [North 1.6 km]
11605,1.98605E+13,1986.05.11,48:57.9,39.51,28.39,11,3.7,0,0,,0,3.7,Ke,TASPINAR-DURSUNBEY (BALIKESIR) [South West  0.4 km]
